"","name","location","rating","text"
"1","Stacey C.","Indianapolis, IN",5,"I only have good things to say about Mayo.  A family member was diagnosed by their  local doctor with a condition that required surgery to correct.  Several local doctors preform this surgery occasionally buy not routinely so we contacted Mayo where they have a specialist who focuses on this procedure and does over 300 a year.  We transmitted the records and tests electronically, had phone consultations, scheduled a week long visit.  All of the staff was professional, engaging, and seemed to honestly care about their job and the patients.  The cross coordination, communication, and care are so different than typically health care."
"2","Arin W.","Chicago, IL",1,"The clinic might be great. I'll never know because they rejected me via form email that told me to ""keep perusing local options"" after making me jump through many hoops and having me sign upfor the patient portal which I now have no use for.  Also the person on the phone kept interrupting me and flatly saying ""I need something that I can put in as a code"".Both the phone calls I had were unsympathetic and frankly a waste. I'd bet money no actual person looked at my paperwork. Just a machine that scanned for keywords. It gets worse. My parents got in easy breezy for Executive Physicals which are extensive but only available to executives and their spouses. Which makes zero sense. (Hint: the answer is elitism)"
"3","Jessica S.","Kansas City, MO",5,"It's hard to put into words the size of this place. Amazing medical center with top notch doctors, nurses, and all the support staff. A collaborative effort from all involved."
"4","Fran H.","San Francisco, CA",1,"Received a text saying I missed my appt with my provider. Problem is I haven't even been set up to see a provider. So I called and was not very happy with Missy in General Internal Medicine. A little kindness and an apology for the error, rather than insist it was a phone call from central that I failed to pick up, would have been sufficient. I asked why they didn't leave a VM? ""Is there anything else you need?"" was Missy's reply. Absolutely not."
"5","Annie R.","Denver, CO",1,"I moved here for a surgery. I had a tumor on my adrenal gland, and they couldn't figure out what it was. These tumors are notoriously hard to diagnose. My endocrinologist, Dr. Naan, who is the head of the department, was disrespectful and didn't take my case seriously. The first time I saw her, we did nothing. As we were standing up to leave she tells me that 1/3 of tumors like mine are benign, and she says that like it's a good thing. I stopped and said that this means 2/3 are malignant, and she just says ""yup"" and continues walking out the door. I was in shock. I'm only 36 y.o., and I had been told previously that it was probably benign. I never thought a doctor, let alone a department head, would be that flippant about telling me I had a 2/3 chance of having cancer. Next session, I told her I was really stressed about that, and I had spent an hour w a friend talking about it. Dr Naan replied ""uh oh, I hope you weren't drinking"". So, apparently Mayo Clinic department heads think patients have to be drunk to be worried about having a 2/3 chance of cancer. She was beyond dehumanizing. My surgeon, Dr McKenzie, didn't do any education during our surgical consult pertaining to the surgical procedure, what I can expect to happen during surgery, or the risks of surgery. I wrote a review, that was supposed to be confidential, detailing the things he left out. The resident came to see me the day off the surgery and educated me on exactly the things I mentioned in my anonymous review, nothing more, nothing less. He didn't tell me I'd have a catheter placed inside me during the operation, and no one told me after either. I only found out bc I was urinating blood, and because of the pain. Neither my endocrinologist or surgeon made any plans to follow up with me after surgery to discuss what the mass is, and the surgeon wrote explicitly in his notes that a follow up visit was not needed....so no one had plans to follow up and tell me what the mass was. And they didn't. I had some questions that I messaged them, a resident called back to answer my questions, but he never mentioned what the mass was until I asked. Then he said he was going to bring it up. The tumor wasn't in the same place they thought it was, it was actually outside the adrenal gland, and the resident said the adrenal gland would have died anyway, if they had just resected the tumor and not the whole gland. However, the tumor was not even inside the adrenal gland. No one told me that either. I read it in a report, and I brought it up to the resident. The resident said the surgeon didn't bring it up because the surgeon could not differentiate between tumor and regular adrenal gland. This surgeon does many, many adrenal resections each year, he's regarded as highly skilled, and he's does do partial adrenalectomies...so how is it possible that this surgeon could not differentiate between normal adrenal gland and a tumor that's sitting outside but adjacent to the adrenal? The surgeon just didn't want to educate me on anything that a normal patient would want to know -surgery risks, surgery outcomes, etc. I really wanted just the tumor removed, and Dr Naan mentioned that she wasn't sure the tumor was inside the adrenal, but the surgeon never said anything about that. The resident said that no one could have known that the tumor was outside the gland. Between Dr Naan and Dr McKenzie, it's just more dehumanizing bs than I can take. This is hard enough, but add on doctors like them who obviously don't care about my case at all, and the process becomes exponentially worse. I cannot believe I moved out here, to try to get better care, and ended up with doctors like these two who have been so offensive and absent on my case. Choosing Mayo was a huge mistake, and I don't recommend them. Go somewhere else, anywhere else, where they treat people like humans."
"6","Bess L.","Laguna Beach, CA",1,"Seen by resident doctor  in emergency  room. As a retired  medical  professional the treatment  lacked  what I would expect from  a hospital which  claims  to be number 1 in the country.  I believe  that a person  treatment  wouldn't  be any different  at any teaching  hospital in the country."
"7","Lisa V.","Maui, HI",1,"The Mayo Clinic only takes cases they think they can resolve.  I amChronically Ill with Lyme, post CoVid long haul digestive issues and constant fevers, high Ana, possible cancer in my uterus and glyphosate poisoning above 99 percent and post confusion syndrome, to name a few.  Their Lyme department is incompetent.  What they say they do to help is nothing for someone who has ""chronic""Lyme and highly active EBV.  They say they will take you if you have a long haul CoVid issue.  Lie.  They rejected me and CoVid destroyed my digestive system.  They didn't tell me why I was rejected.  They didn't return my calls.  My guess is they take people who they may be able to cure but won't take the liability for those who are too complex, meaning they don't really have specific specialty teamsThat are diverse and possibly only manage a few illnesses and overlook the underlying cause. Would not recommend but would find someone who is a specialist in the field in which you need help.Btw, a few months ago I was accepted but couldn't go.  I re-applied with sameConditions and they said nothing.  I had to call.  They""?   The Wizard of Oz person behind the curtain?  No, not that good. Who is the review board?  Not qualified as a facility to treat disease but maybe will give you a bandaid.The staff on the phone is better than the doctors.  But it is still like a dictatorship and who is leading this mess?It's a no go for me even if it's the last place on earth.  Best of luck to those who have underlying diseases outside the conventional doctor box.  Tread lightly.  Hope for the best, expect the worst. I had hope for this place but no more.  No more."
"8","William W.","Pisgah, OH",1,"Still having GERD & LPR symptoms after having surgery elsewhere. I sat on a 3 month appointment with Mayo clinic looking for answers. all they said was keep taking PPI's. NO! NO NO NO. stop pushing pills at people. ACTUALLY examine me or look at what's going on. I ended up with a TIF surgery in July 2021, and it failed 6-8 weeks later because that surgeon didn't do a Hiatal Hernia fix at the same time. Feels like putting a knot in a shoelace and pulling it through the same eyelet. Tried to get another opinion from Mayo clinic. the woman on the phone said ""will this appointment require surgery""? I DONT KNOW THAT! then she said there are no appointments available for 3 months so keep calling back.Sorry that you are so overwhelmed right now, but at least TRY to service the people who come to you for help."
"9","Stephanie P.","West Des Moines, IA",5,"Omg... amazing medical center.  So kind and helpful.  It was a top notch experience all the way around.  The doctors listen to the patients and the staff love their jobs and it shows in the total experience.  I would recommend this place to anyone who feels hopeless and is out of options..."
"10","Dan B.","Orinda, CA",5,"Amazing place.  Brilliant doctors who collaborate to find solutions for any individual.  You don't work with just doctor, you actually work with all needed to address your illness.The nurses are amazing. I was in ICU from open heart surgery and the nurses were on their game working with the doctors.  Just super impressive."
